Disease,Sym
Dengue, loss_of_appetite nausea high_fever vomiting joint_pain headache muscle_pain red_spots_over_body malaise fatigue chills
Typhoid, high_fever belly_pain vomiting abdominal_pain chills fatigue constipation headache
hepatitis A, yellowish_skin mild_fever yellowing_of_eyes joint_pain diarrhoea dark_urine muscle_pain loss_of_appetite
Hepatitis B, receiving_unsterile_injections abdominal_pain lethargy fatigue receiving_blood_transfusion itching dark_urine loss_of_appetite yellowish_skin
Hepatitis C, yellowing_of_eyes loss_of_appetite family_history
Hepatitis D, joint_pain abdominal_pain loss_of_appetite yellowing_of_eyes fatigue dark_urine
Hepatitis E, yellowish_skin dark_urine yellowing_of_eyes high_fever acute_liver_failure coma loss_of_appetite abdominal_pain fatigue stomach_bleeding
Alcoholic hepatitis, yellowish_skin history_of_alcohol_consumption distention_of_abdomen fluid_overload
Tuberculosis, fatigue vomiting chest_pain high_fever cough mild_fever loss_of_appetite swelled_lymph_nodes yellowing_of_eyes chills sweating malaise weight_loss
Common Cold, redness_of_eyes loss_of_smell congestion malaise phlegm continuous_sneezing throat_irritation headache chills swelled_lymph_nodes cough runny_nose muscle_pain fatigue
Pneumonia, phlegm high_fever rusty_sputum breathlessness sweating fast_heart_rate fatigue cough
Dimorphic hemmorhoids(piles), constipation pain_in_anal_region
Heart attack, breathlessness
Varicose veins, bruising fatigue cramps swollen_legs
Hypothyroidism, enlarged_thyroid puffy_face_and_eyes irritability fatigue weight_gain depression abnormal_menstruation dizziness cold_hands_and_feets lethargy
Hyperthyroidism, fast_heart_rate weight_loss diarrhoea mood_swings excessive_hunger irritability fatigue abnormal_menstruation
Hypoglycemia, vomiting anxiety drying_and_tingling_lips sweating blurred_and_distorted_vision irritability palpitations fatigue headache
Osteoarthristis, painful_walking swelling_joints knee_pain
Arthritis, muscle_weakness stiff_neck
(vertigo) Paroymsal  Positional Vertigo, nausea vomiting loss_of_balance
Acne, scurring
Urinary tract infection, burning_micturition
Psoriasis, skin_rash joint_pain silver_like_dusting
Impetigo, yellow_crust_ooze red_sore_around_nose
Fungal infection, dischromic_patches
Allergy, shivering
GERD, acidity ulcers_on_tongue vomiting
Chronic cholestasis, loss_of_appetite yellowing_of_eyes abdominal_pain yellowish_skin
Drug Reaction, spotting_urination stomach_pain
Peptic ulcer diseae, vomiting indigestion abdominal_pain
AIDS, muscle_wasting
Diabetes , excessive_hunger fatigue polyuria irregular_sugar_level increased_appetite obesity restlessness
Gastroenteritis, diarrhoea
Bronchial Asthma, fatigue cough high_fever
Hypertension , chest_pain headache
Migraine, visual_disturbances excessive_hunger irritability headache stiff_neck depression
Cervical spondylosis, loss_of_balance dizziness
Paralysis (brain hemorrhage), weakness_of_one_body_side
Jaundice, abdominal_pain fatigue itching weight_loss dark_urine
Malaria, sweating vomiting muscle_pain headache nausea
Chicken pox, lethargy fatigue red_spots_over_body itching high_fever malaise loss_of_appetite swelled_lymph_nodes
Dengue, pain_behind_the_eyes chills joint_pain loss_of_appetite malaise fatigue red_spots_over_body headache vomiting nausea skin_rash
Typhoid, toxic_look_(typhos) chills abdominal_pain nausea constipation belly_pain headache vomiting
hepatitis A, diarrhoea abdominal_pain dark_urine muscle_pain mild_fever yellowing_of_eyes vomiting yellowish_skin
Hepatitis B, fatigue yellow_urine receiving_blood_transfusion receiving_unsterile_injections yellowish_skin abdominal_pain lethargy malaise loss_of_appetite
Hepatitis C, nausea yellowing_of_eyes family_history
Hepatitis D, joint_pain yellowish_skin loss_of_appetite vomiting nausea fatigue
Hepatitis E, abdominal_pain loss_of_appetite fatigue yellowish_skin high_fever yellowing_of_eyes acute_liver_failure nausea dark_urine vomiting
Alcoholic hepatitis, yellowish_skin abdominal_pain distention_of_abdomen fluid_overload
Tuberculosis, mild_fever vomiting high_fever malaise weight_loss loss_of_appetite swelled_lymph_nodes fatigue yellowing_of_eyes breathlessness chills sweating chest_pain
Common Cold, fatigue cough phlegm throat_irritation headache runny_nose malaise continuous_sneezing redness_of_eyes sinus_pressure chills chest_pain swelled_lymph_nodes congestion
Pneumonia, chills high_fever breathlessness fast_heart_rate malaise fatigue phlegm sweating
Dimorphic hemmorhoids(piles), bloody_stool pain_during_bowel_movements
Heart attack, vomiting
Varicose veins, cramps prominent_veins_on_calf obesity swollen_blood_vessels
Hypothyroidism, abnormal_menstruation dizziness brittle_nails enlarged_thyroid lethargy swollen_extremeties fatigue depression mood_swings weight_gain
Hyperthyroidism, abnormal_menstruation sweating restlessness weight_loss mood_swings muscle_weakness fast_heart_rate excessive_hunger
Hypoglycemia, sweating palpitations headache irritability slurred_speech drying_and_tingling_lips fatigue nausea anxiety
Osteoarthristis, hip_joint_pain neck_pain painful_walking
Arthritis, stiff_neck painful_walking
(vertigo) Paroymsal  Positional Vertigo, nausea vomiting unsteadiness
Acne, blackheads
Urinary tract infection, continuous_feel_of_urine
Psoriasis, joint_pain skin_rash small_dents_in_nails
Impetigo, skin_rash blister
Fungal infection, nodal_skin_eruptions
Allergy, shivering
GERD, ulcers_on_tongue acidity chest_pain
Chronic cholestasis, nausea abdominal_pain vomiting itching
Drug Reaction, itching skin_rash
Peptic ulcer diseae, internal_itching abdominal_pain indigestion
AIDS, patches_in_throat
Diabetes , blurred_and_distorted_vision restlessness increased_appetite lethargy obesity excessive_hunger irregular_sugar_level
Gastroenteritis, sunken_eyes
Bronchial Asthma, family_history cough breathlessness
Hypertension , lack_of_concentration chest_pain
Migraine, excessive_hunger visual_disturbances irritability headache depression blurred_and_distorted_vision
Cervical spondylosis, dizziness loss_of_balance
Paralysis (brain hemorrhage), weakness_of_one_body_side
Jaundice, yellowish_skin high_fever itching weight_loss dark_urine
Malaria, vomiting high_fever nausea sweating diarrhoea
Chicken pox, red_spots_over_body loss_of_appetite lethargy malaise swelled_lymph_nodes mild_fever skin_rash fatigue
Dengue, malaise high_fever vomiting skin_rash chills joint_pain fatigue loss_of_appetite muscle_pain back_pain pain_behind_the_eyes
Typhoid, fatigue high_fever nausea constipation headache diarrhoea vomiting abdominal_pain
hepatitis A, mild_fever joint_pain diarrhoea yellowish_skin muscle_pain yellowing_of_eyes dark_urine nausea
Hepatitis B, malaise yellow_urine receiving_unsterile_injections yellowing_of_eyes loss_of_appetite fatigue abdominal_pain receiving_blood_transfusion dark_urine
Hepatitis C, loss_of_appetite nausea fatigue
Hepatitis D, dark_urine vomiting yellowing_of_eyes nausea loss_of_appetite yellowish_skin
Hepatitis E, acute_liver_failure yellowing_of_eyes coma stomach_bleeding yellowish_skin loss_of_appetite dark_urine nausea abdominal_pain fatigue
Alcoholic hepatitis, history_of_alcohol_consumption yellowish_skin vomiting abdominal_pain
Tuberculosis, malaise swelled_lymph_nodes sweating breathlessness mild_fever loss_of_appetite fatigue high_fever chest_pain weight_loss yellowing_of_eyes cough blood_in_sputum
Common Cold, swelled_lymph_nodes cough throat_irritation continuous_sneezing loss_of_smell phlegm sinus_pressure fatigue muscle_pain malaise congestion high_fever chest_pain redness_of_eyes
Pneumonia, breathlessness high_fever cough malaise chills fast_heart_rate rusty_sputum fatigue
Dimorphic hemmorhoids(piles), pain_during_bowel_movements constipation
Heart attack, sweating
Varicose veins, swollen_blood_vessels bruising prominent_veins_on_calf fatigue
Hypothyroidism, mood_swings cold_hands_and_feets swollen_extremeties abnormal_menstruation fatigue enlarged_thyroid depression irritability dizziness weight_gain
Hyperthyroidism, abnormal_menstruation excessive_hunger irritability fatigue restlessness mood_swings diarrhoea fast_heart_rate
Hypoglycemia, irritability blurred_and_distorted_vision anxiety headache fatigue nausea slurred_speech palpitations drying_and_tingling_lips
Osteoarthristis, painful_walking hip_joint_pain swelling_joints
Arthritis, swelling_joints painful_walking
(vertigo) Paroymsal  Positional Vertigo, nausea loss_of_balance vomiting
Acne, pus_filled_pimples
Urinary tract infection, foul_smell_ofurine
Psoriasis, skin_rash skin_peeling small_dents_in_nails
Impetigo, blister red_sore_around_nose
Fungal infection, dischromic_patches
Allergy, continuous_sneezing
GERD, cough stomach_pain chest_pain
Chronic cholestasis, yellowish_skin nausea yellowing_of_eyes loss_of_appetite
Drug Reaction, stomach_pain skin_rash
Peptic ulcer diseae, passage_of_gases abdominal_pain internal_itching
AIDS, muscle_wasting
Diabetes , increased_appetite weight_loss restlessness lethargy excessive_hunger obesity blurred_and_distorted_vision
Gastroenteritis, vomiting
Bronchial Asthma, fatigue high_fever mucoid_sputum
Hypertension , headache chest_pain
Migraine, irritability stiff_neck depression excessive_hunger visual_disturbances indigestion
Cervical spondylosis, neck_pain weakness_in_limbs
Paralysis (brain hemorrhage), headache
Jaundice, high_fever vomiting dark_urine fatigue weight_loss
Malaria, high_fever muscle_pain vomiting sweating headache
Chicken pox, high_fever fatigue mild_fever malaise red_spots_over_body lethargy swelled_lymph_nodes headache
Dengue, high_fever joint_pain red_spots_over_body muscle_pain fatigue headache chills loss_of_appetite nausea skin_rash vomiting
Typhoid, headache fatigue vomiting high_fever constipation belly_pain diarrhoea toxic_look_(typhos)
hepatitis A, nausea vomiting mild_fever muscle_pain abdominal_pain yellowish_skin dark_urine loss_of_appetite
Hepatitis B, lethargy receiving_unsterile_injections yellowing_of_eyes malaise dark_urine fatigue receiving_blood_transfusion yellowish_skin itching
Hepatitis C, fatigue family_history yellowish_skin
Hepatitis D, abdominal_pain loss_of_appetite dark_urine yellowing_of_eyes nausea fatigue
Hepatitis E, stomach_bleeding loss_of_appetite acute_liver_failure fatigue dark_urine joint_pain yellowing_of_eyes high_fever coma abdominal_pain
Alcoholic hepatitis, abdominal_pain yellowish_skin fluid_overload swelling_of_stomach
Tuberculosis, malaise yellowing_of_eyes blood_in_sputum vomiting chills phlegm swelled_lymph_nodes high_fever loss_of_appetite mild_fever chest_pain breathlessness weight_loss
Common Cold, cough malaise fatigue high_fever swelled_lymph_nodes runny_nose muscle_pain loss_of_smell congestion chills continuous_sneezing phlegm redness_of_eyes throat_irritation
Pneumonia, cough malaise rusty_sputum chills breathlessness chest_pain high_fever fatigue
Dimorphic hemmorhoids(piles), irritation_in_anus constipation
Heart attack, breathlessness
Varicose veins, fatigue bruising prominent_veins_on_calf cramps
Hypothyroidism, irritability abnormal_menstruation enlarged_thyroid swollen_extremeties brittle_nails lethargy depression cold_hands_and_feets mood_swings fatigue
Hyperthyroidism, abnormal_menstruation mood_swings irritability muscle_weakness excessive_hunger restlessness sweating weight_loss
Hypoglycemia, fatigue headache anxiety drying_and_tingling_lips palpitations vomiting nausea blurred_and_distorted_vision excessive_hunger
Osteoarthristis, knee_pain joint_pain hip_joint_pain
Arthritis, muscle_weakness stiff_neck
(vertigo) Paroymsal  Positional Vertigo, spinning_movements headache unsteadiness
Acne, pus_filled_pimples
Urinary tract infection, continuous_feel_of_urine
Psoriasis, skin_peeling silver_like_dusting joint_pain
Impetigo, yellow_crust_ooze high_fever
Fungal infection, dischromic_patches
Allergy, continuous_sneezing
GERD, acidity vomiting cough
Chronic cholestasis, yellowing_of_eyes nausea itching abdominal_pain
Drug Reaction, skin_rash spotting_urination
Peptic ulcer diseae, loss_of_appetite indigestion passage_of_gases
AIDS, patches_in_throat
Diabetes , irregular_sugar_level obesity weight_loss restlessness blurred_and_distorted_vision fatigue polyuria
Gastroenteritis, diarrhoea
Bronchial Asthma, high_fever family_history mucoid_sputum
Hypertension , headache loss_of_balance
Migraine, blurred_and_distorted_vision indigestion headache acidity irritability stiff_neck
Cervical spondylosis, dizziness back_pain
Paralysis (brain hemorrhage), weakness_of_one_body_side
Jaundice, yellowish_skin weight_loss dark_urine itching fatigue
Malaria, nausea high_fever chills vomiting sweating
Chicken pox, mild_fever malaise headache itching loss_of_appetite swelled_lymph_nodes fatigue high_fever
Dengue, red_spots_over_body loss_of_appetite nausea headache back_pain pain_behind_the_eyes muscle_pain fatigue high_fever vomiting malaise
Typhoid, high_fever vomiting headache abdominal_pain constipation chills diarrhoea belly_pain
hepatitis A, nausea mild_fever loss_of_appetite vomiting dark_urine muscle_pain yellowish_skin abdominal_pain
Hepatitis B, receiving_unsterile_injections loss_of_appetite yellowing_of_eyes itching receiving_blood_transfusion dark_urine lethargy yellow_urine abdominal_pain
Hepatitis C, loss_of_appetite fatigue yellowing_of_eyes
Hepatitis D, yellowish_skin yellowing_of_eyes dark_urine vomiting loss_of_appetite abdominal_pain
Hepatitis E, abdominal_pain stomach_bleeding yellowing_of_eyes dark_urine coma loss_of_appetite fatigue high_fever acute_liver_failure vomiting
Alcoholic hepatitis, swelling_of_stomach distention_of_abdomen abdominal_pain history_of_alcohol_consumption
Tuberculosis, chills chest_pain mild_fever breathlessness weight_loss sweating fatigue phlegm malaise cough yellowing_of_eyes swelled_lymph_nodes vomiting
Common Cold, continuous_sneezing fatigue runny_nose malaise throat_irritation congestion chills loss_of_smell phlegm muscle_pain swelled_lymph_nodes redness_of_eyes chest_pain headache
Pneumonia, fast_heart_rate cough chest_pain rusty_sputum phlegm fatigue high_fever sweating
Dimorphic hemmorhoids(piles), constipation bloody_stool
Heart attack, breathlessness
Varicose veins, bruising prominent_veins_on_calf swollen_legs fatigue
Hypothyroidism, swollen_extremeties dizziness lethargy cold_hands_and_feets mood_swings weight_gain fatigue enlarged_thyroid puffy_face_and_eyes depression
Hyperthyroidism, fast_heart_rate restlessness mood_swings diarrhoea muscle_weakness excessive_hunger irritability abnormal_menstruation
Hypoglycemia, vomiting fatigue sweating drying_and_tingling_lips headache palpitations nausea excessive_hunger blurred_and_distorted_vision
Osteoarthristis, hip_joint_pain swelling_joints joint_pain
Arthritis, muscle_weakness painful_walking
(vertigo) Paroymsal  Positional Vertigo, vomiting nausea unsteadiness
Acne, scurring
Urinary tract infection, burning_micturition
Psoriasis, inflammatory_nails silver_like_dusting skin_peeling
Impetigo, blister red_sore_around_nose
Fungal infection, skin_rash
Allergy, chills
GERD, vomiting chest_pain cough
Chronic cholestasis, nausea vomiting yellowing_of_eyes abdominal_pain
Drug Reaction, skin_rash itching
Peptic ulcer diseae, indigestion vomiting loss_of_appetite
AIDS, high_fever
Diabetes , obesity irregular_sugar_level restlessness weight_loss polyuria fatigue increased_appetite
Gastroenteritis, vomiting
Bronchial Asthma, family_history high_fever fatigue
Hypertension , headache loss_of_balance
Migraine, excessive_hunger irritability acidity depression visual_disturbances blurred_and_distorted_vision
Cervical spondylosis, dizziness neck_pain
Paralysis (brain hemorrhage), vomiting
Jaundice, vomiting yellowish_skin itching high_fever dark_urine
Malaria, muscle_pain chills nausea high_fever vomiting
Chicken pox, loss_of_appetite itching skin_rash mild_fever fatigue lethargy malaise red_spots_over_body
Dengue, nausea muscle_pain loss_of_appetite chills vomiting joint_pain malaise red_spots_over_body skin_rash pain_behind_the_eyes back_pain
Typhoid, fatigue chills belly_pain nausea abdominal_pain high_fever constipation toxic_look_(typhos)
hepatitis A, abdominal_pain loss_of_appetite yellowish_skin vomiting diarrhoea yellowing_of_eyes dark_urine muscle_pain
Hepatitis B, loss_of_appetite dark_urine yellowing_of_eyes itching malaise yellow_urine lethargy yellowish_skin abdominal_pain
Hepatitis C, fatigue nausea family_history
Hepatitis D, yellowish_skin abdominal_pain loss_of_appetite nausea joint_pain vomiting
Hepatitis E, yellowish_skin fatigue acute_liver_failure yellowing_of_eyes coma nausea abdominal_pain vomiting joint_pain loss_of_appetite
Alcoholic hepatitis, yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen
Tuberculosis, swelled_lymph_nodes breathlessness blood_in_sputum chills weight_loss malaise phlegm chest_pain yellowing_of_eyes mild_fever vomiting fatigue loss_of_appetite
Common Cold, congestion sinus_pressure throat_irritation chest_pain fatigue chills cough high_fever continuous_sneezing phlegm swelled_lymph_nodes headache loss_of_smell redness_of_eyes
Pneumonia, rusty_sputum malaise high_fever chills cough phlegm fatigue fast_heart_rate
Dimorphic hemmorhoids(piles), pain_during_bowel_movements irritation_in_anus
Heart attack, vomiting
Varicose veins, swollen_blood_vessels obesity bruising fatigue
Hypothyroidism, irritability swollen_extremeties fatigue depression mood_swings abnormal_menstruation cold_hands_and_feets enlarged_thyroid dizziness brittle_nails
Hyperthyroidism, fast_heart_rate muscle_weakness irritability abnormal_menstruation diarrhoea fatigue mood_swings weight_loss
Hypoglycemia, irritability fatigue sweating headache anxiety drying_and_tingling_lips nausea vomiting excessive_hunger
Osteoarthristis, hip_joint_pain joint_pain painful_walking
Arthritis, muscle_weakness painful_walking
(vertigo) Paroymsal  Positional Vertigo, loss_of_balance spinning_movements nausea
Acne, skin_rash
Urinary tract infection, continuous_feel_of_urine
Psoriasis, skin_peeling skin_rash small_dents_in_nails
Impetigo, skin_rash red_sore_around_nose
Fungal infection, skin_rash
Allergy, continuous_sneezing
GERD, acidity vomiting ulcers_on_tongue
Chronic cholestasis, yellowish_skin itching yellowing_of_eyes abdominal_pain
Drug Reaction, stomach_pain burning_micturition
Peptic ulcer diseae, indigestion abdominal_pain vomiting
AIDS, high_fever
Diabetes , fatigue polyuria obesity excessive_hunger lethargy increased_appetite blurred_and_distorted_vision
Gastroenteritis, diarrhoea
Bronchial Asthma, mucoid_sputum fatigue breathlessness
Hypertension , headache loss_of_balance
Migraine, excessive_hunger depression acidity irritability indigestion stiff_neck
Cervical spondylosis, dizziness loss_of_balance
Paralysis (brain hemorrhage), headache
Jaundice, fatigue weight_loss yellowish_skin vomiting itching
Malaria, sweating vomiting headache muscle_pain chills
Chicken pox, lethargy loss_of_appetite skin_rash red_spots_over_body swelled_lymph_nodes malaise fatigue headache
Dengue, pain_behind_the_eyes back_pain nausea red_spots_over_body chills high_fever malaise vomiting headache joint_pain loss_of_appetite
Typhoid, chills diarrhoea high_fever constipation abdominal_pain headache nausea vomiting
hepatitis A, loss_of_appetite joint_pain yellowish_skin mild_fever nausea muscle_pain dark_urine abdominal_pain
Hepatitis B, receiving_unsterile_injections dark_urine loss_of_appetite fatigue itching yellow_urine receiving_blood_transfusion yellowish_skin lethargy
Hepatitis C, fatigue yellowish_skin nausea
Hepatitis D, yellowish_skin yellowing_of_eyes abdominal_pain loss_of_appetite joint_pain nausea
Hepatitis E, high_fever stomach_bleeding nausea fatigue coma yellowish_skin dark_urine loss_of_appetite abdominal_pain vomiting
Alcoholic hepatitis, distention_of_abdomen vomiting abdominal_pain yellowish_skin
Tuberculosis, swelled_lymph_nodes sweating cough chest_pain vomiting high_fever loss_of_appetite fatigue malaise blood_in_sputum chills breathlessness phlegm
Common Cold, chest_pain swelled_lymph_nodes redness_of_eyes cough muscle_pain phlegm fatigue high_fever runny_nose malaise continuous_sneezing sinus_pressure chills congestion
Pneumonia, breathlessness rusty_sputum chest_pain sweating phlegm high_fever fatigue cough
Dimorphic hemmorhoids(piles), bloody_stool irritation_in_anus
Heart attack, vomiting
Varicose veins, prominent_veins_on_calf swollen_blood_vessels fatigue cramps
Hypothyroidism, enlarged_thyroid weight_gain depression abnormal_menstruation irritability swollen_extremeties lethargy cold_hands_and_feets brittle_nails fatigue
Hyperthyroidism, mood_swings muscle_weakness fast_heart_rate sweating irritability excessive_hunger weight_loss fatigue
Hypoglycemia, fatigue nausea blurred_and_distorted_vision anxiety slurred_speech irritability vomiting excessive_hunger palpitations
Osteoarthristis, joint_pain knee_pain swelling_joints
Arthritis, muscle_weakness swelling_joints
(vertigo) Paroymsal  Positional Vertigo, loss_of_balance unsteadiness nausea
Acne, blackheads
Urinary tract infection, foul_smell_ofurine
Psoriasis, inflammatory_nails silver_like_dusting skin_peeling
Impetigo, yellow_crust_ooze high_fever
Fungal infection, dischromic_patches
Allergy, watering_from_eyes
GERD, acidity ulcers_on_tongue vomiting
Chronic cholestasis, itching nausea loss_of_appetite vomiting
Drug Reaction, spotting_urination burning_micturition
Peptic ulcer diseae, indigestion vomiting abdominal_pain
AIDS, high_fever
Diabetes , excessive_hunger weight_loss restlessness irregular_sugar_level increased_appetite lethargy blurred_and_distorted_vision
Gastroenteritis, diarrhoea
Bronchial Asthma, family_history fatigue cough
Hypertension , lack_of_concentration headache
Migraine, depression acidity excessive_hunger headache visual_disturbances stiff_neck
Cervical spondylosis, dizziness weakness_in_limbs
Paralysis (brain hemorrhage), vomiting
Jaundice, high_fever yellowish_skin weight_loss dark_urine vomiting
Malaria, vomiting headache diarrhoea sweating high_fever
Chicken pox, loss_of_appetite mild_fever high_fever skin_rash itching malaise swelled_lymph_nodes red_spots_over_body
Dengue, nausea chills loss_of_appetite joint_pain muscle_pain headache high_fever pain_behind_the_eyes back_pain malaise fatigue
Typhoid, chills nausea belly_pain diarrhoea fatigue toxic_look_(typhos) abdominal_pain vomiting
hepatitis A, vomiting yellowing_of_eyes dark_urine loss_of_appetite abdominal_pain nausea muscle_pain yellowish_skin
Hepatitis B, yellow_urine receiving_unsterile_injections abdominal_pain itching receiving_blood_transfusion dark_urine yellowish_skin loss_of_appetite yellowing_of_eyes
Hepatitis C, yellowish_skin yellowing_of_eyes nausea
Hepatitis D, fatigue yellowing_of_eyes yellowish_skin nausea loss_of_appetite dark_urine
Hepatitis E, dark_urine abdominal_pain loss_of_appetite vomiting acute_liver_failure coma yellowish_skin high_fever joint_pain nausea
Alcoholic hepatitis, swelling_of_stomach fluid_overload vomiting yellowish_skin
Tuberculosis, fatigue chills loss_of_appetite malaise cough phlegm weight_loss high_fever sweating breathlessness yellowing_of_eyes swelled_lymph_nodes vomiting
Common Cold, phlegm chills throat_irritation muscle_pain runny_nose headache chest_pain fatigue sinus_pressure loss_of_smell swelled_lymph_nodes cough malaise continuous_sneezing
Pneumonia, high_fever breathlessness cough phlegm malaise rusty_sputum sweating fatigue
Dimorphic hemmorhoids(piles), constipation pain_in_anal_region
Heart attack, breathlessness
Varicose veins, obesity swollen_legs prominent_veins_on_calf bruising
Hypothyroidism, weight_gain enlarged_thyroid fatigue dizziness abnormal_menstruation depression irritability brittle_nails swollen_extremeties mood_swings
Hyperthyroidism, excessive_hunger weight_loss fatigue muscle_weakness diarrhoea abnormal_menstruation restlessness sweating
Hypoglycemia, headache anxiety nausea irritability sweating fatigue slurred_speech drying_and_tingling_lips excessive_hunger
Osteoarthristis, hip_joint_pain swelling_joints joint_pain
Arthritis, muscle_weakness movement_stiffness
(vertigo) Paroymsal  Positional Vertigo, vomiting headache unsteadiness
Acne, blackheads
Urinary tract infection, bladder_discomfort
Psoriasis, skin_rash joint_pain inflammatory_nails
Impetigo, red_sore_around_nose skin_rash
Fungal infection, skin_rash
Allergy, shivering
GERD, chest_pain ulcers_on_tongue cough
Chronic cholestasis, yellowish_skin abdominal_pain vomiting yellowing_of_eyes
Drug Reaction, stomach_pain burning_micturition
Peptic ulcer diseae, vomiting internal_itching loss_of_appetite
AIDS, muscle_wasting
Diabetes , lethargy increased_appetite polyuria blurred_and_distorted_vision fatigue restlessness irregular_sugar_level
Gastroenteritis, sunken_eyes
Bronchial Asthma, breathlessness mucoid_sputum fatigue
Hypertension , headache chest_pain
Migraine, stiff_neck headache depression irritability indigestion visual_disturbances
Cervical spondylosis, dizziness loss_of_balance
Paralysis (brain hemorrhage), vomiting
Jaundice, yellowish_skin abdominal_pain vomiting dark_urine itching
Malaria, muscle_pain chills high_fever diarrhoea vomiting
Chicken pox, headache high_fever malaise itching skin_rash fatigue swelled_lymph_nodes red_spots_over_body
Dengue, fatigue joint_pain vomiting headache loss_of_appetite skin_rash chills malaise back_pain pain_behind_the_eyes red_spots_over_body
Typhoid, belly_pain abdominal_pain headache chills nausea constipation toxic_look_(typhos) vomiting
hepatitis A, yellowing_of_eyes yellowish_skin dark_urine loss_of_appetite vomiting diarrhoea abdominal_pain joint_pain
Hepatitis B, loss_of_appetite malaise yellowish_skin yellowing_of_eyes fatigue dark_urine yellow_urine receiving_unsterile_injections itching
Hepatitis C, fatigue yellowing_of_eyes family_history
Hepatitis D, joint_pain dark_urine yellowing_of_eyes fatigue abdominal_pain loss_of_appetite
Hepatitis E, joint_pain high_fever abdominal_pain vomiting acute_liver_failure stomach_bleeding nausea yellowing_of_eyes dark_urine coma
Alcoholic hepatitis, yellowish_skin fluid_overload swelling_of_stomach vomiting
Tuberculosis, malaise swelled_lymph_nodes mild_fever chest_pain vomiting blood_in_sputum chills cough high_fever yellowing_of_eyes phlegm fatigue breathlessness
Common Cold, cough muscle_pain throat_irritation headache high_fever redness_of_eyes phlegm runny_nose congestion chills fatigue loss_of_smell sinus_pressure continuous_sneezing
Pneumonia, sweating chest_pain rusty_sputum phlegm fatigue cough chills breathlessness
Dimorphic hemmorhoids(piles), irritation_in_anus constipation
Heart attack, vomiting
Varicose veins, obesity prominent_veins_on_calf swollen_blood_vessels swollen_legs
Hypothyroidism, irritability weight_gain brittle_nails mood_swings cold_hands_and_feets fatigue enlarged_thyroid dizziness depression abnormal_menstruation
Hyperthyroidism, abnormal_menstruation sweating irritability muscle_weakness diarrhoea fatigue restlessness weight_loss
Hypoglycemia, slurred_speech drying_and_tingling_lips headache nausea palpitations anxiety blurred_and_distorted_vision excessive_hunger sweating
Osteoarthristis, neck_pain hip_joint_pain knee_pain
Arthritis, stiff_neck swelling_joints
(vertigo) Paroymsal  Positional Vertigo, vomiting nausea unsteadiness
Acne, pus_filled_pimples
Urinary tract infection, bladder_discomfort
Psoriasis, silver_like_dusting skin_rash inflammatory_nails
Impetigo, high_fever yellow_crust_ooze
Fungal infection, itching
Allergy, chills
GERD, chest_pain vomiting cough
Chronic cholestasis, itching vomiting yellowing_of_eyes yellowish_skin
Drug Reaction, spotting_urination burning_micturition
Peptic ulcer diseae, abdominal_pain loss_of_appetite vomiting
AIDS, high_fever
Diabetes , irregular_sugar_level lethargy polyuria obesity weight_loss fatigue blurred_and_distorted_vision
Gastroenteritis, dehydration
Bronchial Asthma, cough breathlessness mucoid_sputum
Hypertension , lack_of_concentration chest_pain
Migraine, irritability acidity stiff_neck blurred_and_distorted_vision headache depression
Cervical spondylosis, neck_pain weakness_in_limbs
Paralysis (brain hemorrhage), vomiting
Jaundice, fatigue yellowish_skin itching vomiting abdominal_pain
Malaria, nausea high_fever vomiting headache muscle_pain
Chicken pox, fatigue red_spots_over_body high_fever lethargy malaise skin_rash itching swelled_lymph_nodes
Dengue, nausea skin_rash high_fever back_pain vomiting red_spots_over_body loss_of_appetite headache pain_behind_the_eyes malaise chills
Typhoid, toxic_look_(typhos) chills vomiting abdominal_pain nausea headache constipation belly_pain
hepatitis A, diarrhoea joint_pain mild_fever muscle_pain yellowish_skin abdominal_pain yellowing_of_eyes dark_urine
Hepatitis B, yellowing_of_eyes abdominal_pain lethargy malaise receiving_blood_transfusion dark_urine receiving_unsterile_injections yellow_urine fatigue
Hepatitis C, fatigue loss_of_appetite family_history
Hepatitis D, vomiting abdominal_pain fatigue joint_pain yellowish_skin yellowing_of_eyes
Hepatitis E, loss_of_appetite coma yellowing_of_eyes joint_pain abdominal_pain dark_urine yellowish_skin high_fever nausea fatigue
Alcoholic hepatitis, fluid_overload abdominal_pain yellowish_skin history_of_alcohol_consumption
Tuberculosis, blood_in_sputum malaise weight_loss vomiting fatigue high_fever breathlessness yellowing_of_eyes chest_pain sweating phlegm loss_of_appetite chills
Common Cold, chills high_fever fatigue headache runny_nose phlegm cough swelled_lymph_nodes continuous_sneezing throat_irritation redness_of_eyes malaise congestion chest_pain
Pneumonia, malaise breathlessness chest_pain cough phlegm high_fever fatigue chills
Dimorphic hemmorhoids(piles), constipation pain_during_bowel_movements
Heart attack, breathlessness
Varicose veins, fatigue swollen_blood_vessels bruising swollen_legs
Hypothyroidism, enlarged_thyroid fatigue cold_hands_and_feets depression abnormal_menstruation dizziness puffy_face_and_eyes swollen_extremeties weight_gain brittle_nails
Hyperthyroidism, abnormal_menstruation diarrhoea fatigue weight_loss sweating restlessness irritability fast_heart_rate
Hypoglycemia, irritability slurred_speech excessive_hunger sweating palpitations drying_and_tingling_lips fatigue headache nausea
